majOpinWriter,label
1,John Jay
2,John Rutledge
3,William Cushing
4,James Wilson
5,John Blair
6,James Iredell
7,Thomas Johnson
8,William Paterson
9,John Rutledge
10,Samuel Chase
11,Oliver Ellsworth
12,Bushrod Washington
13,Alfred Moore
14,John Marshall
15,William Johnson
16,Henry Livingston
17,Thomas Todd
18,Gabriel Duvall
19,Joseph Story
20,Smith Thompson
21,Robert Trimble
22,John McLean
23,Henry Baldwin
24,James Wayne
25,Roger Taney
26,Philip Barbour
27,John Catron
28,John McKinley
29,Peter Daniel
30,Samuel Nelson
31,Levi Woodbury
32,Robert Grier
33,Benjamin Curtis
34,John Campbell
35,Nathan Clifford
36,Noah Swayne
37,Samuel Miller
38,David Davis
39,Stephen Field
40,Salmon Chase
41,William Strong
42,Joseph Bradley
43,Ward Hunt
44,Morrison Waite
45,John Harlan
46,William Woods
47,Stanley Matthews
48,Horace Gray
49,Samuel Blatchford
50,Lucius Lamar
51,Melville Fuller
52,David Brewer
53,Henry Brown
54,George Shiras
55,Howell Jackson
56,Edward White
57,Rufus Peckham
58,Joseph McKenna
59,Oliver Holmes
60,William Day
61,William Moody
62,Horace Lurton
63,Charles Hughes
64,Willis Van Devanter
65,Joseph Lamar
66,Mahlon Pitney
67,James McReynolds
68,Louis Brandeis
69,John Clarke
70,William Taft
71,George Sutherland
72,Pierce Butler
73,Edward Sanford
74,Harlan Stone
75,Charles Hughes
76,Owen Roberts
77,Benjamin Cardozo
78,Hugo Black
79,Stanley Reed
80,Felix Frankfurter
81,William Douglas
82,Francis Murphy
83,James Byrnes
84,Robert Jackson
85,Wiley Rutledge
86,Harold Burton
87,Fred Vinson
88,Tom Clark
89,Sherman Minton
90,Earl Warren
91,John Harlan
92,William Brennan
93,Charles Whittaker
94,Potter Stewart
95,Byron White
96,Arthur Goldberg
97,Abe Fortas
98,Thurgood Marshall
99,Warren Burger
100,Harry Blackmun
101,Lewis Powell
102,William Rehnquist
103,John Stevens
104,Sandra O'Connor
105,Antonin Scalia
106,Anthony Kennedy
107,David Souter
108,Clarence Thomas
109,Ruth Ginsburg
110,Stephen Breyer
111,John Roberts
112,Samuel Alito
113,Sonia Sotomayor
114,Elena Kagan
115,Neil Gorsuch
116,Brett Kavanaugh
117,Amy Barrett
118,Ketanji Jackson
